"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13041","Navigate and interact with the Leads page","chromium","Thu Dec 26 17:10:33 UTC 2024","passed","Thu Dec 26 17:10:46 UTC 2024","","GetAPILead.spec.js","",""
"","2652","Handling UI","chromium","Thu Dec 26 17:11:16 UTC 2024","passed","Thu Dec 26 17:11:18 UTC 2024","","UIBasicetest.spec.js","",""
"","17684","@API: Add user under admin role","chromium","Thu Dec 26 17:11:50 UTC 2024","passed","Thu Dec 26 17:12:07 UTC 2024","","WebapipartA.spec.js","",""
"","7000","@Web Pop validation","chromium","Thu Dec 26 17:10:49 UTC 2024","passed","Thu Dec 26 17:10:56 UTC 2024","","morevalidation.spec.js","",""
"","5115","Vishual TestingScreenShot","chromium","Thu Dec 26 17:11:02 UTC 2024","passed","Thu Dec 26 17:11:07 UTC 2024","","morevalidation.spec.js","",""
"","5526","@Web ScreenShot","chromium","Thu Dec 26 17:10:56 UTC 2024","passed","Thu Dec 26 17:11:02 UTC 2024","","morevalidation.spec.js","",""
"","8636","@B2B login","chromium","Thu Dec 26 17:10:08 UTC 2024","passed","Thu Dec 26 17:10:17 UTC 2024","","ClientApp.spec.js","",""
"","8667","UI Test for Login and Card Titles","chromium","Thu Dec 26 17:11:07 UTC 2024","passed","Thu Dec 26 17:11:16 UTC 2024","","UIBasicetest.spec.js","",""
"","10629","@Web Client App login","chromium","Thu Dec 26 17:10:17 UTC 2024","passed","Thu Dec 26 17:10:28 UTC 2024","","ClientAppOtherWay.spec.js","",""
"","5751","@B2B Application login","chromium","Thu Dec 26 17:10:28 UTC 2024","passed","Thu Dec 26 17:10:33 UTC 2024","","ClientAppPOJ.spec.js","",""
"","3356","Child Window Handel","chromium","Thu Dec 26 17:11:19 UTC 2024","passed","Thu Dec 26 17:11:22 UTC 2024","","UIBasicetest.spec.js","",""
"","16593","@API  Navigate to the website and login & logout the application","chromium","Thu Dec 26 17:11:32 UTC 2024","passed","Thu Dec 26 17:11:48 UTC 2024","","WebapipartA.spec.js","",""
"","6697","@API test with LocalStorage and SessionStorage","chromium","Thu Dec 26 17:11:22 UTC 2024","passed","Thu Dec 26 17:11:29 UTC 2024","","WebapiPart2.spec.js","",""
